sample,chr,event,gene_name
RDV,chr1,AMP,['MTOR' 'PRDM2' 'CAMTA1']
RDV,chr1,GAIN,['TENT5C' 'NOTCH2' 'ATP1A1' 'S100A7' 'FCRL4' 'DDR2' 'CDC73' 'PTPRC']
RDV,chr1,HETD,"['SKI' 'TNFRSF14' 'RPL22' 'CAMTA1' 'CASP9' 'SPEN' 'ARHGEF10L' 'SDHB' 'ID3'
 'MDS2' 'ARID1A' 'LCK' 'SFPQ' 'THRAP3' 'CSF3R' 'MYCL' 'SETDB1' 'MLLT11'
 'BCL9' 'ARNT' 'PDE4DIP' 'TPM3' 'NTRK1' 'LMNA' 'PRCC' 'MUC1' 'FCGR2B'
 'SDHC']"
RDV,chr10,GAIN,['GATA3' 'PRF1']
RDV,chr10,HETD,"['KIF5B' 'ZEB1' 'TET1' 'KAT6B' 'TLX1' 'NFKB2' 'SUFU' 'NT5C2' 'SHTN1'
 'FGFR2' 'MGMT']"
RDV,chr11,GAIN,"['MYOD1' 'RRAS2' 'CCND1' 'FADD' 'NUMA1' 'EED' 'PICALM' 'FAT3' 'MAML2'
 'YAP1' 'BIRC3' 'SDHD' 'PAFAH1B2' 'ATM' 'DDX10' 'POU2AF1' 'ZBTB16' 'KCNJ5'
 'ARHGEF12' 'FLI1']"
RDV,chr11,HETD,"['HRAS' 'MUC6' 'CREB3L1' 'DDB2' 'FEN1' 'MEN1' 'SDHAF2' 'MALAT1' 'BCL9L'
 'FOXR1' 'CBL' 'DDX6' 'KMT2A']"
RDV,chr12,GAIN,['CCND2' 'LRIG3']
RDV,chr12,HETD,"['KDM5A' 'ERC1' 'PTPN6' 'PRPF40B' 'SMARCD1' 'ATF1' 'ACVR1B' 'KMT2D'
 'HOXC13' 'HOXC11' 'NAB2' 'GLI1' 'DDIT3' 'NACA' 'STAT6' 'CDK4' 'ERBB3'
 'ALDH2' 'SH2B3' 'SETD1B' 'ZCCHC8' 'HNF1A' 'BCL7A' 'CLIP1' 'NCOR2' 'POLE']"
RDV,chr12,HLAMP3,['CHD4' 'ZNF384']
RDV,chr13,HETD,"['SOX21' 'LATS2' 'CDX2' 'CYSLTR2' 'ERCC5' 'ZMYM2' 'FLT3' 'BRCA2' 'LHFPL6'
 'FOXO1' 'RB1' 'NBEA' 'LCP1' 'GPC5']"
RDV,chr14,AMP,['DICER1' 'TRIP11' 'GOLGA5' 'AKT1' 'HSP90AA1']
RDV,chr14,GAIN,['RAD51B' 'GPHN' 'TSHR' 'TCL1A']
RDV,chr14,HETD,['CCNB1IP1' 'MAX']
RDV,chr14,HLAMP2,['BCL11B']
RDV,chr15,GAIN,['MAP2K1' 'SMAD3' 'CHD2']
RDV,chr15,HETD,['KNSTRN' 'RAD51' 'KNL1' 'FES' 'IDH2' 'BLM' 'CRTC3']
RDV,chr16,GAIN,['GRIN2A' 'IL21R' 'CYLD' 'MAF']
RDV,chr16,HETD,"['NTHL1' 'AXIN1' 'TSC2' 'TRAF7' 'CREBBP' 'FUS' 'CBFB' 'CTCF' 'CDH1'
 'CBFA2T3' 'FANCA']"
RDV,chr17,GAIN,['RAD51D' 'TAF15' 'HLF' 'MSI2']
RDV,chr17,HETD,"['YWHAE' 'USP6' 'POLR2A' 'TP53' 'PER1' 'RABEP1' 'NF1' 'SUZ12' 'CCR7'
 'MLLT6' 'LASP1' 'CDK12' 'RARA' 'ERBB2' 'SMARCE1' 'IKZF3' 'ETV4' 'STAT3'
 'STAT5B' 'BRCA1' 'COL1A1' 'KAT7' 'SPOP' 'RNF43' 'PPM1D' 'CLTC' 'RAD51C'
 'H3F3B' 'SRSF2' 'CANT1' 'ASPSCR1' 'SEPT9' 'RNF213']"
RDV,chr18,HLAMP2,['SMAD4' 'KDSR' 'SS18' 'SETBP1' 'SMAD2' 'BCL2' 'DCC' 'MALT1' 'ZNF521']
RDV,chr19,AMP,"['CD209' 'LYL1' 'GNA11' 'MAP2K2' 'SH3GL1' 'MLLT1' 'KEAP1' 'CALR' 'PRKACA'
 'DNAJB1' 'BRD4' 'TPM4' 'PIK3R2' 'VAV1' 'MUC16' 'DNM2' 'SMARCA4' 'CRTC1'
 'ELL' 'JAK3']"
RDV,chr19,GAIN,['FSTL3' 'TCF3' 'STK11']
RDV,chr19,HETD,"['CEBPA' 'BCL3' 'ZNF429' 'CCNE1' 'CD79A' 'CIC' 'CBLC' 'CRTC1' 'CEP89'
 'LSM14A' 'AKT2' 'ERCC2' 'BCL2L12' 'BAX' 'ARHGAP35' 'TFPT' 'POLD1' 'KLK2'
 'PPP2R1A' 'ZNF331' 'CNOT3']"
RDV,chr2,GAIN,"['PCBP1' 'MYCN' 'WDCP' 'SIX2' 'EPAS1' 'BCL11A' 'REL' 'XPO1' 'DCTN1'
 'NCOA1' 'ASXL2' 'DNMT3A' 'STRN' 'SOS1' 'EML4' 'FBXO11' 'MSH2' 'MSH6'
 'ALK' 'BIRC6' 'CTNNA2' 'CXCR4' 'HOXD11' 'FEV' 'TMEM127' 'RANBP2' 'HOXD13'
 'CASP8' 'CD28' 'CREB1' 'IDH1' 'BARD1' 'ATIC' 'ACSL3' 'RGPD3' 'ERCC3'
 'ACVR1' 'NFE2L2' 'COL3A1' 'SF3B1' 'CUL3' 'AFF3' 'PAX8' 'LRP1B' 'ACVR2A'
 'ITGAV' 'PMS1' 'ERBB4' 'PAX3']"
RDV,chr2,HETD,['ACKR3']
RDV,chr20,GAIN,['SIRPA' 'CRNKL1' 'MAFB' 'TOP1' 'SDC4' 'PLCG1' 'PTPRT' 'GNAS']
RDV,chr20,HETD,['SS18L1' 'PTK6']
RDV,chr21,GAIN,['OLIG2' 'ERG' 'RUNX1']
RDV,chr22,HETD,"['SEPT5' 'DGCR8' 'LZTR1' 'CLTCL1' 'MAPK1' 'APOBEC3B' 'ISX' 'PDGFB' 'PATZ1'
 'MYH9' 'MRTFA' 'EP300']"
RDV,chr3,HETD,"['CCR4' 'BAP1' 'FOXL2' 'SOX2' 'EIF4A2' 'VHL' 'RAF1' 'MLH1' 'CTNNB1'
 'NCKIPSD' 'RHOA' 'TFG' 'GATA2' 'RPN1' 'CNBP' 'GMPS' 'ETV5' 'BCL6' 'MUC4'
 'TFRC' 'SRGAP3' 'FANCD2' 'PPARG' 'XPC' 'TGFBR2' 'MYD88' 'SETD2' 'PBRM1'
 'MITF' 'CBLB' 'GSK3B' 'POLQ' 'STAG1' 'PIK3CB' 'ATR' 'WWTR1' 'MLF1'
 'MECOM' 'PIK3CA' 'MAP3K13' 'IGF2BP2' 'MB21D2' 'FBLN2' 'CACNA1D' 'FHIT'
 'FOXP1' 'ROBO2' 'EPHA3' 'TBL1XR1' 'LPP' 'TP63']"
RDV,chr4,GAIN,"['FIP1L1' 'CHIC2' 'KIT' 'KDR' 'PDGFRA' 'TEC' 'PTPN13' 'AFF1' 'IL2'
 'RAP1GDS1' 'TET2' 'LEF1' 'FBXW7']"
